product_codes,silhouette_code
167677C,1
167592C,1
167593C,1
167910C,1
167911C,1
167912C,1
167709C,1
166324C,1
165907C,1
166804C,1
167669C,1
168279C,1
167821C,1
167629C,1
167936C,1
167862C,1
167700C,1
167643C,1
167644C,1
167749C,1
167678C,2
167596C,2
167645C,2
167642C,2
167830C,2
167827C,2
167826C,2
167702C,2
167915C,2
167708C,2
564981C,2
564982C,2
167297C,2
167854C,2
167853C,2
167866C,2
567686C,2
567685C,2
167673C,2
168293C,2
167817C,3
167805C,3
167804C,3
166810C,3
167291C,3
167292C,3
167058C,3
166809C,3
167061C,3
166813C,3
166812C,3
166803C,3
565062C,3
563456C,5
567847C,5
567865C,5
563457C,5
560251C,5
566766C,5
567105C,5
150249C,4
150247C,4
567723C,4
564143C,4
537081C,4
537084C,4
3J232C,1
3J253C,1
3J231C,1
767531C,1
766889C,1
767203C,1
3J235C,2
3J256C,2
3J236C,2
767899C,2
768147C,2
768146C,2
368145C,2
368144C,2
663635C,2
767338C,2
766892C,2
767205C,2
866933C,2
865158C,2
865157C,2
865156C,2
763537C,2
763536C,2
663634C,2
767559C,4
767560C,4
667557C,4
667558C,4
